meld,hand-strength,AiBid,didPartnerBid,DidPartnerMeldBid,DidPartnerPass,handCounter,scoreCounter,lastBid,BidPassOrMeldBid
1,10.0,false,false,false,true,4,0,23,pass
7,13.5,true,true,true,true,3,35,26,bid
3,10.25,true,true,true,true,4,-37,24,bid
4,12.75,true,false,false,true,1,0,22,bid
6,11.5,false,false,false,true,3,25,21,pass
5,16.0,true,false,false,true,1,0,24,pass
17,15.5,true,false,false,true,2,35,24,bid
3,8.0,false,true,true,true,3,-37,24,bid
5,6.0,false,false,false,true,3,22,22,pass
5,13.0,true,true,false,true,2,18,23,pass
1,15.25,false,false,false,true,1,0,21,bid
4,13.0,false,false,false,true,1,0,28,pass
4,14.0,false,false,false,true,4,-30,23,bid
3,9.5,false,false,false,true,3,8,30,pass
7,4.5,false,false,false,true,4,-38,23,bid
10,13.75,true,true,true,true,3,9,24,bid
4,8.25,false,false,false,true,1,0,21,pass
1,12.25,false,false,false,true,3,-11,21,pass
6,15.5,false,false,false,true,1,0,24,bid
5,6.75,false,false,false,true,2,29,22,pass
5,12.25,false,false,false,true,1,0,21,bid
1,8.0,false,true,true,true,1,0,23,pass
0,9.25,false,true,true,true,1,0,23,pass
4,12.5,false,false,false,true,1,0,24,pass
4,14.25,false,false,false,true,4,3,23,pass
0,14.5,false,false,false,true,2,11,22,pass
4,11.75,false,true,false,true,2,-13,22,bid
15,9.5,true,true,false,true,3,31,22,bid
1,13.75,false,false,false,true,4,0,22,pass
7,9.0,false,true,false,true,2,13,22,bid
0,17.5,true,true,false,true,4,34,21,bid
15,14.5,true,true,false,true,4,36,23,bid
4,10.5,false,true,false,true,2,-30,22,pass
4,17.75,true,true,false,false,2,-10,22,bid
6,9.0,false,false,false,true,3,40,28,pass
4,11.5,false,true,false,false,1,0,23,pass
1,12.25,false,false,false,true,2,-9,22,pass
1,14.0,false,true,false,true,2,-38,30,pass
0,9.25,false,false,false,true,1,0,21,pass
9,8.25,false,true,false,true,1,0,31,pass
4,13.25,true,false,false,true,2,15,24,pass
10,13.0,true,false,false,true,4,33,23,bid
6,8.5,false,false,false,true,1,0,23,pass
2,9.5,false,true,false,true,1,0,27,pass
2,13.75,true,false,false,true,3,6,23,pass
5,15.5,true,true,false,true,1,0,22,bid
4,9.0,true,true,false,true,1,0,21,bid
2,15.25,true,true,true,true,3,40,24,bid
2,8.25,false,true,false,false,2,29,21,pass
4,14.0,true,true,false,false,3,22,24,pass
4,14.0,true,false,false,true,2,-20,22,bid
4,14.0,false,true,false,false,1,0,23,pass
1,13.5,true,true,false,false,1,0,21,pass
8,18.0,true,false,false,true,2,24,22,bid
2,15.0,false,true,false,false,3,-13,24,pass
5,13.0,false,false,false,true,4,1,23,pass
5,13.0,false,true,false,false,1,0,23,pass
5,14.5,true,false,false,true,4,-30,21,bid
1,13.5,false,true,false,false,1,0,23,pass
2,11.0,false,true,false,false,2,-2,21,pass
1,11.5,false,true,false,false,2,1,23,pass
4,13.5,true,true,false,false,4,17,23,pass
2,14.75,true,true,false,false,3,34,22,pass
0,10.0,false,false,false,true,1,0,25,pass
13,10.25,true,false,false,true,1,0,21,bid
1,9.0,false,false,false,true,2,-1,21,pass
4,12.5,false,false,false,true,4,15,24,bid
4,12.75,false,false,false,true,1,0,23,bid
4,10.5,false,true,false,false,4,9,22,pass
4,16.75,true,false,false,true,4,-37,24,bid
15,16.25,true,false,false,true,1,0,22,bid
5,13.75,true,true,true,true,1,0,21,bid
2,9.25,false,true,false,true,1,0,25,pass
5,15.75,true,true,false,false,3,0,22,pass
0,9.75,false,false,false,true,3,4,22,pass
9,9.25,false,false,false,true,2,-32,24,pass
1,13.75,false,false,false,true,4,-26,21,bid
4,14.25,true,false,false,true,3,31,21,pass
3,13.25,false,false,false,true,3,23,23,pass
0,13.5,false,false,false,true,2,-24,33,pass
6,10.5,true,false,false,true,1,0,22,bid
4,10.0,false,false,false,true,4,23,23,pass
5,9.25,false,false,false,true,2,-40,23,pass
10,13.25,true,true,true,true,3,40,24,bid
5,9.5,false,true,false,false,1,0,24,pass
3,8.25,false,true,false,false,3,-8,23,pass
0,14.5,false,false,false,true,4,31,23,pass
4,10.0,false,false,false,true,1,0,24,pass
3,11.25,false,true,false,false,1,0,22,pass
7,12.0,true,false,false,true,1,0,22,pass
7,14.75,true,true,false,false,4,9,24,pass
1,13.0,false,true,false,false,3,-19,23,pass
0,8.25,false,true,false,false,3,35,24,pass
1,8.25,false,false,false,true,2,-11,22,pass
0,20.25,true,true,false,false,2,-37,21,bid
4,12.5,false,false,false,true,2,-37,21,bid
7,7.75,false,true,false,false,3,35,24,pass
5,7.75,false,false,false,true,1,0,23,pass
1,10.0,false,false,false,true,4,0,31,pass
0,13.0,true,true,false,false,2,15,23,pass
4,15.25,true,true,false,false,4,18,22,bid
1,16.75,false,false,false,true,1,0,27,pass
4,9.25,false,true,false,false,1,0,21,pass
7,10.75,false,true,false,true,1,0,25,pass
1,8.0,false,true,false,false,1,0,22,pass
15,17.5,true,false,false,true,3,2,23,bid
0,11.25,false,true,false,false,3,11,22,pass
6,8.0,false,false,false,true,4,7,23,pass
8,12.5,false,false,false,true,2,-36,24,bid
2,6.5,false,false,false,true,1,0,29,pass
2,6.75,false,false,false,true,2,40,21,pass
4,9.75,false,true,false,false,1,0,23,pass
0,11.5,false,true,false,false,1,0,22,pass
6,11.5,true,true,false,true,4,13,21,pass
9,7.25,false,true,false,true,1,0,23,pass
6,10.5,true,true,false,false,1,0,22,bid
4,10.75,false,false,false,true,4,-29,24,bid
4,10.0,false,false,false,true,3,-12,24,pass
1,13.5,false,true,false,false,3,27,23,pass
4,9.25,false,true,false,false,1,0,22,pass
0,13.75,false,true,false,false,1,0,21,pass
8,8.75,false,true,false,false,2,-38,21,pass
2,13.5,false,false,false,true,4,28,23,pass
1,10.5,false,false,false,true,2,0,21,pass
6,9.75,false,true,false,false,4,0,22,pass
9,16.5,true,false,false,true,3,-18,21,bid
0,12.75,false,false,false,true,2,0,21,pass
1,11.0,false,true,false,true,1,0,25,pass
5,8.75,false,true,false,true,2,21,31,pass
0,16.0,false,false,false,true,4,-12,28,pass
6,17.25,true,false,false,true,4,5,27,pass
12,9.0,true,false,false,true,2,-4,21,pass
3,9.25,true,true,false,false,1,0,23,pass
5,15.75,true,true,false,true,2,8,22,bid
6,6.75,false,true,false,false,3,11,21,pass
3,12.5,false,true,false,false,4,-2,23,pass
1,11.25,true,true,true,true,1,0,23,bid
5,13.5,true,true,false,false,2,-16,21,pass
7,14.25,true,true,false,false,1,0,22,bid
4,12.0,false,false,false,true,3,35,23,pass
0,9.75,false,false,false,true,2,-10,23,pass
0,10.25,false,false,false,true,3,-33,24,pass
6,7.5,false,true,false,false,2,-24,23,pass
22,13.0,true,true,false,true,2,8,31,bid
1,18.0,true,false,false,true,2,-27,21,bid
5,7.25,false,false,false,true,3,-14,22,pass
1,10.5,false,true,false,true,2,-13,27,pass
2,7.5,false,true,false,false,3,-36,21,pass
3,13.5,false,false,false,true,3,-25,24,pass
0,9.25,false,true,false,true,3,24,22,pass
8,9.75,true,true,false,true,3,-25,21,pass
5,9.5,false,true,false,false,4,21,23,pass
5,13.25,false,false,false,true,4,-17,26,pass
1,6.5,false,false,false,true,2,25,22,pass
9,7.0,true,true,false,true,4,-36,21,bid
2,6.75,false,true,false,false,1,0,22,pass
1,12.5,false,false,false,true,3,-17,23,pass
4,8.5,false,true,false,false,3,-13,24,pass
8,13.25,true,false,false,true,2,-33,21,bid
3,9.5,false,true,false,true,2,22,22,pass
1,13.25,false,false,false,true,1,0,21,bid
0,12.25,false,true,false,true,4,-33,22,pass
15,13.75,true,false,false,true,3,-40,24,bid
9,9.0,false,true,false,false,4,-11,24,meld bid
5,14.0,false,false,false,true,1,0,23,bid
1,11.0,false,false,false,true,1,0,21,pass
1,14.25,false,true,false,false,4,-31,22,pass
4,11.25,true,true,true,true,2,-4,21,bid
4,5.75,false,false,false,true,1,0,21,pass
10,9.0,true,false,false,true,4,5,22,bid
5,9.75,false,false,false,true,2,30,24,pass
0,11.75,false,true,false,true,3,-38,21,pass
1,8.5,false,false,false,true,1,0,23,pass
7,13.75,true,false,false,true,4,0,23,bid
0,13.0,true,false,false,true,2,-11,21,pass
5,15.0,true,false,false,true,4,8,21,bid
3,8.25,false,false,false,true,1,0,22,pass
0,12.5,false,false,false,true,4,5,24,pass
7,13.25,true,false,false,true,4,1,22,pass
4,14.75,true,true,true,true,1,0,24,bid
4,9.5,false,true,false,true,1,0,22,pass
2,10.75,false,false,false,true,1,0,22,pass
1,16.5,false,false,false,true,1,0,23,pass
4,10.5,false,false,false,true,4,1,22,pass
1,11.5,false,true,false,false,2,35,23,pass
1,9.75,false,false,false,true,4,-10,23,pass
7,12.25,false,false,false,true,1,0,31,pass
4,10.25,false,true,false,false,1,0,23,pass
1,16.75,true,true,false,false,1,0,22,pass
1,14.75,false,true,false,true,4,-15,27,pass
0,15.75,false,false,false,true,4,5,24,pass
4,11.75,false,false,false,true,1,0,23,pass
6,13.5,true,false,false,true,4,-4,21,pass
4,9.75,false,true,false,false,3,-3,22,pass
6,11.75,false,false,false,true,2,33,22,bid
2,11.25,false,false,false,true,2,32,22,pass
6,11.0,true,true,true,true,2,-1,22,bid
0,9.0,false,false,false,true,2,-7,27,pass
5,12.25,false,true,false,false,4,29,22,pass
1,9.0,false,true,false,true,4,1,21,pass
1,12.25,false,false,false,true,1,0,23,pass
4,7.0,false,true,false,true,2,26,21,pass
1,12.5,false,false,false,true,3,-26,23,pass
2,9.0,false,false,false,true,4,29,21,pass
2,9.25,false,true,false,false,2,16,21,pass
5,8.25,false,true,false,false,1,0,21,pass
14,8.25,true,false,false,true,1,0,24,bid
9,12.25,true,true,false,true,3,33,22,bid
14,7.0,true,true,false,true,1,0,24,bid
2,10.75,false,false,false,true,1,0,23,pass
5,10.5,true,true,false,false,1,0,21,pass
3,6.75,false,false,false,true,4,5,22,pass
7,12.5,false,true,false,true,2,-30,23,bid
21,14.25,true,false,false,true,2,31,25,bid
3,9.25,false,true,true,true,2,0,31,pass
4,15.5,true,true,false,true,2,23,22,bid
15,15.25,true,true,false,true,1,0,21,bid
4,6.25,false,true,false,true,3,-38,21,pass
9,14.25,true,false,false,true,4,-18,24,bid
5,11.0,true,true,true,true,3,-17,24,bid
1,11.0,false,false,false,true,4,20,21,pass
6,10.25,false,true,false,true,3,-24,21,bid
5,9.0,false,true,false,true,3,23,21,bid
0,11.75,false,true,false,false,4,17,21,pass
1,11.75,false,false,false,true,4,40,24,pass
6,9.25,false,false,false,true,1,0,21,bid
4,13.25,false,true,false,false,1,0,23,pass
15,14.0,true,false,false,true,2,28,24,bid
1,9.0,false,false,false,true,4,23,26,pass
1,8.5,false,false,false,true,2,8,21,pass
0,15.0,true,true,false,false,4,15,21,pass
4,7.25,false,false,false,true,3,16,24,pass
1,8.75,false,true,false,true,2,-11,22,pass
1,11.5,false,false,false,true,2,-25,21,pass
4,8.5,false,true,false,true,4,-21,23,pass
4,11.0,false,true,false,false,2,38,23,pass
5,10.0,false,true,false,false,1,0,23,pass
7,14.5,true,false,false,true,2,-21,23,bid
4,12.0,false,true,false,false,3,25,21,pass
5,13.5,false,false,false,true,2,4,23,pass
0,11.5,false,true,false,true,2,-7,22,pass
1,9.25,false,true,false,false,3,-34,23,pass
4,12.5,true,true,false,false,2,16,22,pass
8,10.75,false,false,false,true,1,0,29,pass
16,10.5,true,true,false,true,1,0,22,bid
0,8.25,false,false,false,true,4,14,22,pass
1,11.0,false,true,false,true,2,6,22,pass
7,10.0,false,true,false,true,2,30,24,bid
2,10.5,false,true,false,true,3,3,23,pass
1,11.25,false,true,false,true,2,-8,23,pass
0,11.0,false,true,false,false,1,0,24,pass
2,12.75,false,false,false,true,3,21,24,pass
5,12.5,false,true,true,true,1,0,34,pass
2,9.25,false,false,false,true,4,38,24,pass
4,9.5,false,true,false,true,4,9,21,bid
15,13.75,true,false,false,true,3,27,24,bid
1,14.0,true,false,false,true,1,0,24,pass
1,15.75,false,true,false,true,1,0,31,pass
3,10.75,false,false,false,true,3,37,24,pass
0,9.25,false,true,false,false,2,-24,21,pass
4,14.0,true,true,false,true,4,38,23,pass
0,12.0,false,false,false,true,3,-28,21,pass
2,12.25,false,true,false,true,2,-10,30,pass
